English,Estonian,Source,Domain,Definition_Short,Link
consequence,tagajärg,eki_dkt,psychology/therapy,"asjaolu, nähtus, tegu, mille on esile kutsunud mingi teine asjaolu, nähtus, tegu",https://sonaveeb.ee/search/unif/dlall/dkt/consequence
consultation team,DKT meeskond,eki_dkt,psychology/therapy,"dialektilist käitumisteraapiat ühe raviprogrammi raames osutavad terapeudid, kes kohtuvad omavahel regulaarselt",https://sonaveeb.ee/search/unif/dlall/dkt/consultation%20team
consultation-to-the-client,kliendi juhendamine,eki_dkt,psychology/therapy,dialektilises käitumisteraapias osaleja jõustamine võtma aktiivne ja vastutav roll end ümbritseva keskkonna muutmisel oma heaolu toetavaks,https://sonaveeb.ee/search/unif/dlall/dkt/consultation-to-the-client
consulting,(no ET term),eki_kriis,crisis,kvalifitseeritud spetsialistide poolt teistele erialaste teadmiste edasiandmine ja juhendamine praktilistes töödes,https://sonaveeb.ee/search/unif/dlall/kriis/consulting
contingency management,tasude ja kahjude haldamine,eki_dkt,psychology/therapy,"teraapiatehnika, mille eesmärk on tuvastada erinevad faktorid, mis suurendavad ja vähendavad teatud käitumiste ilmnemise tõenäosust ning suunata neid ...",https://sonaveeb.ee/search/unif/dlall/dkt/contingency%20management
contingency schedule,kinnituskava,eki_dkt,psychology/therapy,"struktureeritud plaan, mis sätestab konkreetsetele käitumistele järgnevad tagajärjed, mida tavaliselt kasutatakse soovitud käitumiste suurendamiseks j...",https://sonaveeb.ee/search/unif/dlall/dkt/contingency%20schedule
continuous reinforcement,pidev sarrustamine,eki_dkt,psychology/therapy,"soovitud käitumise tõenäosuse suurendamise strateegia, kus kinnitatakse iga soovitud käitumise ilmnemist",https://sonaveeb.ee/search/unif/dlall/dkt/continuous%20reinforcement
core emotional need,baasiline emotsionaalne vajadus,eki_skt,psychology/therapy,"bioloogilise alusega universaalne emotsionaalne vajadus, mille täidetus lapsepõlves tagab psühholoogilise tervise ja heaolu, Skeemiteraapia kontekstis...",https://sonaveeb.ee/search/unif/dlall/skt/core%20emotional%20need
corrective emotional experience,korrigeeriv emotsionaalne kogemus,eki_skt,psychology/therapy,"terapeutilise sekkumise viis, mille käigus rakendatakse kogemuslikke ja terapeutilise suhte tehnikaid, korrigeerimaks varaste emotsionaalsete suhtekog...",https://sonaveeb.ee/search/unif/dlall/skt/corrective%20emotional%20experience
cost of housing,(no ET term),eki_TAI,health,eluaseme saamise ja ülalpidamise kulud,https://sonaveeb.ee/search/unif/dlall/TAI/cost%20of%20housing
cost-effectiveness of preventive intervention,ennetustegevuse kulutõhusus,eki_TAI,health,ennetustegevuse kulude ja tulemite võrdlemisest saadav otstarbekuse näit,https://sonaveeb.ee/search/unif/dlall/TAI/cost-effectiveness%20of%20preventive%20intervention
coverage,(no ET term),eki_TAI,health,"reaalselt olemasolev (rahaline, kaubaline) tagatis või tõestus",https://sonaveeb.ee/search/unif/dlall/TAI/coverage
crisis,kriis,eki_dkt,psychology/therapy,"vastuoludest lõhestatud pingeline (sotsiaalne, poliitiline) seisund, mille hrl on põhjustanud raskused, ohud, ebastabiilsed olud ning millega võib kaa...",https://sonaveeb.ee/search/unif/dlall/dkt/crisis
crisis aware,kriisiteadlik,eki_kriis,crisis,pädev ära tundma ja adekvaatselt reageerima kriisiolukorrale,https://sonaveeb.ee/search/unif/dlall/kriis/crisis%20aware
crisis counseling,(no ET term),eki_kriis,crisis,"ajaliselt piiritletud kriisi- ja traumateadlik psühhosotsiaalne nõustamine, millega tagatakse operatiivne kriisisekkumine ja/või täiendav toetav nõust...",https://sonaveeb.ee/search/unif/dlall/kriis/crisis%20counseling
crisis intervention,kriisisekkumine,eki_kriis,crisis,"lühiajaline kriisi- ja traumateadlik psühhosotsiaalne tugi ja juhendamine väga häirivat olukorda (näiteks ootamatu kaotus, õnnetus, katastroof, eneset...",https://sonaveeb.ee/search/unif/dlall/kriis/crisis%20intervention
crisis survival skills,kriisikäitumisoskused,eki_dkt,psychology/therapy,"DKT oskused, mida kasutatakse kriisiolukorra, valusate emotsioonide ja tungide äratalumiseks ning üleelamiseks ilma olukorda hullemaks tegemata",https://sonaveeb.ee/search/unif/dlall/dkt/crisis%20survival%20skills
crude birth rate,sündimuse üldkordaja,eki_TAI,health,Elussündide arv aasta jooksul 1000 aastakeskmise elaniku kohta. (6),https://sonaveeb.ee/search/unif/dlall/TAI/crude%20birth%20rate
crude incidence rate,haigestumuskordaja,eki_TAI,health,esmashaigusjuhtude arv aastakeskmise rahvaarvu suhtes mingil ajavahemikul,https://sonaveeb.ee/search/unif/dlall/TAI/crude%20incidence%20rate
crude mortality rate,(no ET term),eki_TAI,health,surmajuhtude arv aastas aastakeskmise rahvastiku kohta,https://sonaveeb.ee/search/unif/dlall/TAI/crude%20mortality%20rate
custody,(no ET term),eki_TAI,health,"frantsisklaste ordudes orduprovintsist väiksem, enamasti selle koosseisu kuuluv haldusüksus",https://sonaveeb.ee/search/unif/dlall/TAI/custody
DBT,(no ET term),eki_dkt,psychology/therapy,"metalli või muu materjali vastupanu märkimisväärne vähenemine purunemisele ühe või mitme tingimuse, eriti temperatuur, muutumisel (vt külmahapruslävi)...",https://sonaveeb.ee/search/unif/dlall/dkt/DBT
DCBA,DESSANT,eki_dkt,psychology/therapy,"DESSANT on DKT oskuste kogum, mille keskmes on toimetulek sõltuvusega seotud kriisiga. DESSANT on akronüüm järgmistest DKT oskustest: Dialektiline kar...",https://sonaveeb.ee/search/unif/dlall/dkt/DCBA
DCO (Death Certificate Only) case,ainult surmatunnistuse juht,eki_TAI,health,"vähijuht, mille kirjeldamise ainsaks aluseks vähiregistris on surmateatisel toodud märge vähi esinemise kohta",https://sonaveeb.ee/search/unif/dlall/TAI/DCO%20%28Death%20Certificate%20Only%29%20case
DEAR MAN,enesekehtestamise seitse sammu,eki_dkt,psychology/therapy,"suhtetõhususe oskuste kogumik, mis võimaldab tõhusalt saada soovitut, öelda ""ei"", jääda oma arvamuse juurde või saavutada mõnda muud suhtlemisega seot...",https://sonaveeb.ee/search/unif/dlall/dkt/DEAR%20MAN
death case,(no ET term),eki_TAI,health,surma sündmus,https://sonaveeb.ee/search/unif/dlall/TAI/death%20case
defectiveness,(no ET term),eki_skt,psychology/therapy,"eeldus, et ollakse fundamentaalselt puudulik, alaväärne ja mittetahetud ning sellest tulenev häbitunne ja veendumus, et ei väärita teiste armastust, a...",https://sonaveeb.ee/search/unif/dlall/skt/defectiveness
deinstitutionalize,deinstitutsionaliseerima,eki_TAI,health,institutsioonipõhiselt hoolekandelt kogukonnapõhisele hoolekandele üle minema,https://sonaveeb.ee/search/unif/dlall/TAI/deinstitutionalize
demanding parent mode,nõudliku kriitiku olek,eki_skt,psychology/therapy,"üks sisemise kriitiku olekutest, milles esitatakse enda suhtes ebarealistlikult kõrgeid nõudmisi ja oodatakse nendele vastamist järeleandmisi tegemata...",https://sonaveeb.ee/search/unif/dlall/skt/demanding%20parent%20mode
dependence,(no ET term),eki_skt,psychology/therapy,"eeldus, et ollakse võimetu pädevana toimima igapäevaelu kohustustes toetumata olulisel määral teiste abile (nt enese eest hoolt kandma, lahendama igap...",https://sonaveeb.ee/search/unif/dlall/skt/dependence
depression,(no ET term),eki_kriis,crisis,"sünge, rõhutud meeleolu, rusutud olek, depressioon",https://sonaveeb.ee/search/unif/dlall/kriis/depression
describe,(no ET term),eki_dkt,psychology/therapy,jutustades või kirjutades kellestki või millestki ülevaadet või pilti andma,https://sonaveeb.ee/search/unif/dlall/dkt/describe
detached protecter mode,eemaldunud kaitsja olek,eki_skt,psychology/therapy,"üks düsfunktsionaalsetest kaitseolekutest, mida iseloomustab emotsionaalne vältimine ja milles olles inimene eitab tundeid ja probleeme, on emotsionaa...",https://sonaveeb.ee/search/unif/dlall/skt/detached%20protecter%20mode
detached self-soother mode,eemaldunud eneserahustaja olek,eki_skt,psychology/therapy,"üks düsfunktsionaalsetest kaitseolekutest, milles olles üritatakse rahustada või leevendada oma negatiivseid emotsioone, tehes seda läbi kompulsiivset...",https://sonaveeb.ee/search/unif/dlall/skt/detached%20self-soother%20mode
developmental crisis,arengukriis,eki_kriis,crisis,"elukaare erinevates etappides ette ennustatav muutus, millega kohanemiseks vajab inimene eakohast ja sotsiaalset toetust",https://sonaveeb.ee/search/unif/dlall/kriis/developmental%20crisis
diagnosed during lifetime,elupuhune diagnoos,eki_TAI,health,"haiguse, nt kasvaja diagnoosimine enne surma, ka juhul kui diagnoos täpsustub lahangul",https://sonaveeb.ee/search/unif/dlall/TAI/diagnosed%20during%20lifetime
diagnosis at autopsy,(no ET term),eki_TAI,health,"kasvaja, mis on diagnoositud esimest korda lahangul",https://sonaveeb.ee/search/unif/dlall/TAI/diagnosis%20at%20autopsy
dialectical abstinence,dialektiline karskus,eki_dkt,psychology/therapy,"Dialektilise karskuse korral liigub inimene strateegiliselt absoluutse karskuse vahel ""käesolevas hetkes"" (kuni õnnestub hoiduda sõltuvuskäitumistest)...",https://sonaveeb.ee/search/unif/dlall/dkt/dialectical%20abstinence
dialectical behavior therapy,dialektiline käitumisteraapia,eki_dkt,psychology/therapy,Marsha Linehani välja töötatud kognitiiv-käitumuslike algetega suitsidaalse ja ennast kahjustava käitumise vähendamisele suunatud tõenduspõhine ravipr...,https://sonaveeb.ee/search/unif/dlall/dkt/dialectical%20behavior%20therapy
dialectics,dialektilisus,eki_dkt,psychology/therapy,"maailmavaade, mille keskmes on kolm põhiteesi: süsteemi alaosad on omavahel seotud ja mõõdustavad uue väärtusega terviku; reaalsus koosneb vastassuuna...",https://sonaveeb.ee/search/unif/dlall/dkt/dialectics
diary card,päevikukaart,eki_dkt,psychology/therapy,tööriist dialektilise käitumisteraapia raames igapäevase käitumise kohta info kogumiseks,https://sonaveeb.ee/search/unif/dlall/dkt/diary%20card
diet,dieet,eki_TAI,health,"hrl teatud piirangutega, ettekirjutatud toitumiskord või -viis, mille eesmärk on parandada tervist, ennetada haigusi, muuta toitumisharjumusi või võtt...",https://sonaveeb.ee/search/unif/dlall/TAI/diet
dietology,(no ET term),eki_TAI,health,teadus ja õpetus toiduvalikute ja söömisharjumuste ehk dieedi mõjust tervisele,https://sonaveeb.ee/search/unif/dlall/TAI/dietology
digital health,(no ET term),eki_TAI,health,"eluviis, kui tehnoloogia kasutamisel inimene mõtleb enda tervise ja heaolu peale, et keha, meel ja vaim oleksid parimas ühenduses elamaks võimalikult ...",https://sonaveeb.ee/search/unif/dlall/TAI/digital%20health
digital healthcare,digitaalne tervishoid,eki_TAI,health,"valdkond, mis hõlmab tervishoiuteenuste ja -tegevuste juures kasutatavaid digitehnoloogiad, digitaalseid andmekogusid ja infosüsteeme",https://sonaveeb.ee/search/unif/dlall/TAI/digital%20healthcare
dime game,mündimäng,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia tehnika, mis aitab konkreetses olukorras teha parim otsus selle kohta, kui järjepidevalt midagi paluda või millestki kee...",https://sonaveeb.ee/search/unif/dlall/dkt/dime%20game
direct cause of death,vahetu surmapõhjus,eki_TAI,health,"haigus, tüsistus või vigastus, mis on surma otsene esilekutsuja",https://sonaveeb.ee/search/unif/dlall/TAI/direct%20cause%20of%20death
disability,puue,eki_TAI,health,"inimese (tervisekahjustusest tulenev) võimetus või piiratud võime sooritada tegevusi sellisena või selles ulatuses, mis võimaldaks ühiskonnaelus osale...",https://sonaveeb.ee/search/unif/dlall/TAI/disability
disconnection and rejection,eraldatus ja tõrjutus,eki_skt,psychology/therapy,"skeemi valdkond, mille aluseks on eeldus, et vajadus turvalisuse, stabiilsuse, hoole, empaatia, emotsioonide jagamise, aksepteerimise ning austuse jär...",https://sonaveeb.ee/search/unif/dlall/skt/disconnection%20and%20rejection
disease incidence,esmashaigestumus,eki_TAI,health,uute haigusjuhtude arv kindlal ajavahemikul teatud rahvastikus,https://sonaveeb.ee/search/unif/dlall/TAI/disease%20incidence
disease incidence rate,esmashaigestumuskordaja,eki_TAI,health,uute haigusjuhtude arv aastakeskmise rahvaarvu suhtes mingil ajavahemikul,https://sonaveeb.ee/search/unif/dlall/TAI/disease%20incidence%20rate
distant metastasis,kaugmetastaas,eki_TAI,health,algkoldest (algsest kasvajast) kaugemal (eemal) asuvas organis või lümfisõlmes paiknev sekundaarne kasvaja kolle,https://sonaveeb.ee/search/unif/dlall/TAI/distant%20metastasis
distress tolerance skills,kriisioskused,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia oskuste treeningu moodul, mis keskendub sellele, kuidas valu ja kannatuse kiuste elada, oma eesmärke täita ja tekkinud r...",https://sonaveeb.ee/search/unif/dlall/dkt/distress%20tolerance%20skills
doing mind,tegutsev meel,eki_dkt,psychology/therapy,"Meeleseisund DKT-s, kus inimene keskendub ülesannetele ja sooritusele, tavaliselt automaatselt või harjumuslikult, ilma täielikult hetkes olemata.",https://sonaveeb.ee/search/unif/dlall/dkt/doing%20mind
duration of pregnancy,raseduskestus,eki_TAI,health,"raseduse pikkus täisnädalates (ja päevades), mida mõõdetakse alates viimase normaalse menstruaalperioodi esimesest päevast või ultrahelidiagnostika ab...",https://sonaveeb.ee/search/unif/dlall/TAI/duration%20of%20pregnancy
dysfunctional parent mode,sisemise kriitiku olek,eki_skt,psychology/therapy,"üks kategooria skeemi olekutest, mis on lapsepõlves olulistes suhetes (lapsevanem, vm oluline isik) kogetud negatiivsete aspektide valikuline internal...",https://sonaveeb.ee/search/unif/dlall/skt/dysfunctional%20parent%20mode
early adaptive schema,varane kohastumuslik skeem,eki_skt,psychology/therapy,"lai, kõikehõlmav enda ja oma suhete kohta käiv emotsioonidest, kognitsioonidest ja kehalistest aistingutest koosnev muster, mis kujuneb varases arengu...",https://sonaveeb.ee/search/unif/dlall/skt/early%20adaptive%20schema
early maladaptive schema,varane mittekohastumuslik skeem,eki_skt,psychology/therapy,"lai, kõikehõlmav enda ja oma suhete kohta käiv mälestustest, emotsioonidest, kognitsioonidest ja kehalistest aistingutest koosnev muster, mis on kujun...",https://sonaveeb.ee/search/unif/dlall/skt/early%20maladaptive%20schema
early neonatal dealth,varajane neonataalsurm,eki_TAI,health,"imiku surm esimesel elunädalal (0–6 päeva vanuselt), vt ka hiline neonataalsurm",https://sonaveeb.ee/search/unif/dlall/TAI/early%20neonatal%20dealth
early neonatal mortality rate,varajane neonataalsuremuskordaja,eki_TAI,health,varajases neonataalperioodis (0–6 päeva vanuses) surnute arv kõigi elussündide kohta teatud ajavahemikul,https://sonaveeb.ee/search/unif/dlall/TAI/early%20neonatal%20mortality%20rate
effective rethinking and paired relaxation,tõhus järelemõtlemine ja kombineeritud lihaslõdvestus,eki_dkt,psychology/therapy,"DKT meetod, kus kasutatakse korraga kognitiivset ümberstruktureerimist ning järk-järgulist lihaslõdvestust, et kõrge stressi hetkedel erutust kiiresti...",https://sonaveeb.ee/search/unif/dlall/dkt/effective%20rethinking%20and%20paired%20relaxation
effectively,tõhusalt,eki_dkt,psychology/therapy,"Üks teadveloleku kuidas-oskus DKT-s, keskendumine käitumistele ja tegevustele, mis on hetkes efektiivsed ja eesmärgipärased.",https://sonaveeb.ee/search/unif/dlall/dkt/effectively
effectiveness trial,tulemuslikkuse uuring,eki_TAI,health,"ennetustegevuse mõju või toime uurimine tavatingimustes, Nt õpetaja tavatöös õpilaste sotsiaalse pädevuse arendamise mõju või toime uurimine",https://sonaveeb.ee/search/unif/dlall/TAI/effectiveness%20trial
efficacy trial,mõjususe uuring,eki_TAI,health,"ennetustegevuse mõju või toime uurimine kontrollitud uuringutingimustes, Nt teadlaste poolt valitud koolides õpilaste sotsiaalse pädevuse arendamise m...",https://sonaveeb.ee/search/unif/dlall/TAI/efficacy%20trial
emergency,(no ET term),eki_kriis,crisis,"mingi mehhanismi, seadme vms suurem rike",https://sonaveeb.ee/search/unif/dlall/kriis/emergency
emergency social assistance,vältimatu sotsiaalabi,eki_TAI,health,"piisavate elatusvahenditeta isiku olukorrale vastavad hädavajalikud sotsiaalhoolekandelised abinõud, mis tagavad vähemalt toidu, riietuse ja ajutise p...",https://sonaveeb.ee/search/unif/dlall/TAI/emergency%20social%20assistance
emotion constriction,emotsionaalne kammitsetus,eki_skt,psychology/therapy,emotsioonide ja nendega seotud spontaansete ilmingute ja käitumisimpulsside liigne allasurumine või loomulike impulsside ignoreerimine eeldatava häbi/...,https://sonaveeb.ee/search/unif/dlall/skt/emotion%20constriction
emotion regulation skills,emotsiooni juhtimise oskused,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia oskuste treeningu moodul, mis keskendub sellele, kuidas märgata ja nimetada emotsioone ja nende komponente, muuta soovim...",https://sonaveeb.ee/search/unif/dlall/dkt/emotion%20regulation%20skills
emotional consideration,empaatiline tähelepanelikkus,eki_skt,psychology/therapy,"teiste vajaduste ja tunnete suhtes hoolivuse väljendamine, showing consideration for other's needs and feelings",https://sonaveeb.ee/search/unif/dlall/skt/emotional%20consideration
emotional deprivation,emotsionaalne deprivatsioon,eki_skt,psychology/therapy,"eeldus, et vajadus ja soov emotsionaalse toe järele jääb vastamata, the expectation that one’s desire for a normal degree of emotional support will no...",https://sonaveeb.ee/search/unif/dlall/skt/emotional%20deprivation
emotional dysregulation,emotsionaalne düsregulatsioon,eki_dkt,psychology/therapy,"raskused oma emotsionaalse kogemuse ja käitumise muutmisel olukorras, kus valdaval osal inimestest see tavapäraselt õnnestub",https://sonaveeb.ee/search/unif/dlall/dkt/emotional%20dysregulation
emotional fulfillment,emotsionaalne rahuldatus,eki_skt,psychology/therapy,"eeldus, et tuntakse täielikku emotsionaalset toetust lähisuhetes, feeling full emotional support in intimate relationships",https://sonaveeb.ee/search/unif/dlall/skt/emotional%20fulfillment
emotional inhibition,emotsionaalne pidurdatus,eki_skt,psychology/therapy,"igasugune emotsiooni või impulsi spontaanse väljendamise allasurumine või selle täielik puudumine vältimaks teiste hukkamõistu, häbitunnet või kontrol...",https://sonaveeb.ee/search/unif/dlall/skt/emotional%20inhibition
emotional mind,emotsionaalne meel,eki_dkt,psychology/therapy,"Üks kolmest meeleseisundist DKT-s, kus emotsioonid juhivad mõtlemist ja käitumist.",https://sonaveeb.ee/search/unif/dlall/dkt/emotional%20mind
emotional openness and spontaneity,emotsionaalne avatus ja spontaansus,eki_skt,psychology/therapy,"tuntakse end mugavalt tundeid teistele väljendades, being comfortable in expressing feelings to others",https://sonaveeb.ee/search/unif/dlall/skt/emotional%20openness%20and%20spontaneity
emotional vulnerability,emotsionaalne haavatavus,eki_dkt,psychology/therapy,"emotsionaalset düsregulatsiooni soodustav faktor, mida iseloomustavad kõrge emotsionaalne tundlikkus, emotsioonide intensiivne kogemine ning emotsioon...",https://sonaveeb.ee/search/unif/dlall/dkt/emotional%20vulnerability
empathic confrontation,empaatiline konfronteerumine,eki_skt,psychology/therapy,"terapeutiline viis tegeleda kaitseolekutega, olles empaatiline nende kujunemise biograafiliste põhjuste suhtes, samas vastandudes nende väljendumisvii...",https://sonaveeb.ee/search/unif/dlall/skt/empathic%20confrontation
empathic consideration,(no ET term),eki_skt,psychology/therapy,"teiste vajaduste ja tunnete suhtes hoolivuse väljendamine, showing consideration for other's needs and feelings",https://sonaveeb.ee/search/unif/dlall/skt/empathic%20consideration
empowerment,(no ET term),eki_TAI,health,"algupäraselt India kuningate troonileasumise riitus, mil troonileasujat piserdati püha veega",https://sonaveeb.ee/search/unif/dlall/TAI/empowerment
empowerment imagery,võimestav kujutlus,eki_skt,psychology/therapy,"kogemuslik kujutlustehnika paariskeemiteraapias, mille eesmärk on julgustada paarisuhte vältivat või alistuvat partnerit ennast kehtestama läbi samast...",https://sonaveeb.ee/search/unif/dlall/skt/empowerment%20imagery
ending destructive relationships,hävitavate suhete lõpetamine,eki_dkt,psychology/therapy,"suhtetõhususe oskuste üks eesmärk: lõpetada suhe, mille osas on vähe lootust suhet parandada, mis on ahistav või segab oluliste eesmärkide saavutamist",https://sonaveeb.ee/search/unif/dlall/dkt/ending%20destructive%20relationships
endoscopy of colon,(no ET term),eki_TAI,health,jämesoole haiguste ja kasvajate avastamiseks mõeldud jämesoole vaatlusuuring endoskoobi abil; vt ka sõelkoloskoopia,https://sonaveeb.ee/search/unif/dlall/TAI/endoscopy%20of%20colon
energy content,(no ET term),eki_TAI,health,"ühe massi- või mahuühiku kütuse täielikul põlemisel eralduv soojushulk, energy produced per unit amount of a substance when the substance undergoes co...",https://sonaveeb.ee/search/unif/dlall/TAI/energy%20content
energy drink,(no ET term),eki_TAI,health,"jook, mis sisaldab üldjuhul kofeiini või teisi taimseid stimulante, tihti ka süsivesikuid, harvem ülimagusaid magusaineid ja vitamiine",https://sonaveeb.ee/search/unif/dlall/TAI/energy%20drink
enmeshment,väljakujunemata minapilt,eki_skt,psychology/therapy,ülemäärane emotsionaalne seotus ja lähedus ühe või enama olulise lähedasega (sageli vanematega) ootuspärase sotsiaalse arengu või täieliku iseseisvumi...,https://sonaveeb.ee/search/unif/dlall/skt/enmeshment
enraged child mode,raevunud lapse olek,eki_skt,psychology/therapy,"lapse olek, milles tuntakse raevu, mis päädib kontrollimatu teisi või asju kahjustava agressiivse käitumisega, Experiences intense feelings of rage th...",https://sonaveeb.ee/search/unif/dlall/skt/enraged%20child%20mode
entitlement,enesetähtsustamine,eki_skt,psychology/therapy,"eeldus, et ollakse teistest üle, omatakse eriõiguseid ja ollakse väärt erikohtlemist ega lähtuta vastastikususe põhimõttest inimestevahelises suhtluse...",https://sonaveeb.ee/search/unif/dlall/skt/entitlement
environmental factors,keskkonnategurid,eki_TAI,health,"keskkonna ained ning energia- ja infovood, mis mõjutavad biosüsteeme, todas las características del medio susceptibles de actuar directamente sobre lo...",https://sonaveeb.ee/search/unif/dlall/TAI/environmental%20factors
essential fatty acids,asendamatud rasvhapped,eki_TAI,health,"kahe, kolme ja nelja kahekordse sidemega küllastamata rasvhapped",https://sonaveeb.ee/search/unif/dlall/TAI/essential%20fatty%20acids
Estonian Cancer Register,(no ET term),eki_TAI,health,"riiklik andmekogu, kuhu kogutakse isikustatud andmeid vähijuhtude kohta Eestis. Vähiregistri kohta saab rohkem teavet Tervise Arengu Instituudi veebis...",https://sonaveeb.ee/search/unif/dlall/TAI/Estonian%20Cancer%20Register
Estonian Cancer Screening Register,(no ET term),eki_TAI,health,"riiklik andmekogu, kuhu kogutakse isikustatud andmeid rinna-, emakakaela- ja jämesoolevähi sõeluuringute sihtrühma kuuluvate isikute kohta",https://sonaveeb.ee/search/unif/dlall/TAI/Estonian%20Cancer%20Screening%20Register
Estonian Medical Pregnancy Information System,raseduse infosüsteem,eki_TAI,health,"infosüsteem, kuhu kuuluvad meditsiiniline sünniregister ja meditsiiniline raseduse katkemise ja katkestamise register, ning mis kogub isikustatud andm...",https://sonaveeb.ee/search/unif/dlall/TAI/Estonian%20Medical%20Pregnancy%20Information%20System
ethical aspects of intervention,ennetustegevuse eetilisus,eki_TAI,health,"põhimõtete kogum, mille järgi austatakse tegevuses osaleja autonoomsust ja privaatsust, ei diskrimineerita ega sildistata teda ega seata ohtu, Lähemal...",https://sonaveeb.ee/search/unif/dlall/TAI/ethical%20aspects%20of%20intervention
ethical implications of intervention,(no ET term),eki_TAI,health,"põhimõtete kogum, mille järgi austatakse tegevuses osaleja autonoomsust ja privaatsust, ei diskrimineerita ega sildistata teda ega seata ohtu, Lähemal...",https://sonaveeb.ee/search/unif/dlall/TAI/ethical%20implications%20of%20intervention
excess mortality,liigsuremus,eki_TAI,health,"kogusuremuse (kõigist põhjustest tingitud suremuse) ja eeldatava suremuse vahe, mis esineks samas rahvastikus uuritava seisundi (ka õnnetuste, mürgist...",https://sonaveeb.ee/search/unif/dlall/TAI/excess%20mortality
experiental expertise,kogemusteadmine,eki_TAI,health,kogemusest õppimise kaudu tulnud teadmine,https://sonaveeb.ee/search/unif/dlall/TAI/experiental%20expertise
experiental knowledge,(no ET term),eki_TAI,health,kogemusest õppimise kaudu tulnud teadmine,https://sonaveeb.ee/search/unif/dlall/TAI/experiental%20knowledge
exposure,(no ET term),eki_dkt,psychology/therapy,kiirguskaitses kasutatav nii füüsikalise suuruse tähenduses kui ka üldisemas tähenduses; kiiritus füüsikalise suurusena: footonite poolt õhuruumalas m...,https://sonaveeb.ee/search/unif/dlall/dkt/exposure
external cause of death,surma välispõhjus,eki_TAI,health,"vigastuse, mürgistuse tekkimise asjaolud (juhtunu kirjeldus)",https://sonaveeb.ee/search/unif/dlall/TAI/external%20cause%20of%20death
extinction,(no ET term),eki_dkt,psychology/therapy,Taksoni (tavaliselt liigi) täielik (ülemaailmne) kadumine.,https://sonaveeb.ee/search/unif/dlall/dkt/extinction
failure,(no ET term),eki_skt,psychology/therapy,"tehnilise seadme või süsteemi töötamise häire, korrast ära olek",https://sonaveeb.ee/search/unif/dlall/skt/failure
family caregiver,(no ET term),eki_TAI,health,"inimene, kes hooldab oma pereliiget või lähedast enamasti tasuta",https://sonaveeb.ee/search/unif/dlall/TAI/family%20caregiver
family carer,(no ET term),eki_TAI,health,"inimene, kes hooldab oma pereliiget või lähedast enamasti tasuta",https://sonaveeb.ee/search/unif/dlall/TAI/family%20carer
FAST,eneseväärikuse säilitamise oskused,eki_dkt,psychology/therapy,"suhtetõhususe oskuste kogumik, mis aitab säilitada või parandada eneseväärikust, püüdes samal ajal suhtluses soovitut saavutada",https://sonaveeb.ee/search/unif/dlall/dkt/FAST
fear of losing control,hirm kaotada kontroll,eki_skt,psychology/therapy,"the excessive inhibition or disconnection of spontaneous emotion, action, or expression, due to a fear that one would otherwise lose control of their ...",https://sonaveeb.ee/search/unif/dlall/skt/fear%20of%20losing%20control
feasibility of intervention,ennetustegevuse teostatavus,eki_TAI,health,"hinnang ennetustegevuse läbiviidavusele, Nt ennetustegevuse ülekantavus, sh tegevust soodustavate ja takistavate tegurite analüüs",https://sonaveeb.ee/search/unif/dlall/TAI/feasibility%20of%20intervention
fecal occult blood test,peitveretest,eki_TAI,health,laboriuuring vere avastamiseks väljaheiteproovis,https://sonaveeb.ee/search/unif/dlall/TAI/fecal%20occult%20blood%20test
fertile age,(no ET term),eki_TAI,health,"iga, mil ollakse võimeline viljastuma ja järglasi saama (statistikas kokkuleppeliselt naised vanuses 15-49 a)",https://sonaveeb.ee/search/unif/dlall/TAI/fertile%20age
fertility age,(no ET term),eki_TAI,health,"iga, mil ollakse võimeline viljastuma ja järglasi saama (statistikas kokkuleppeliselt naised vanuses 15-49 a)",https://sonaveeb.ee/search/unif/dlall/TAI/fertility%20age
finding and getting people to like you,inimeste leidmine ja neile meeldima hakkamine,eki_dkt,psychology/therapy,"suhete loomise üks osa, mis puudutab inimeste leidmist ja sõprussuhete loomist, tuginedes läheduse ja sarnasuse põhimõtetele, vestluse alustamise ja s...",https://sonaveeb.ee/search/unif/dlall/dkt/finding%20and%20getting%20people%20to%20like%20you
flaggelating overcontroller mode,ennastpiitsutava ülekontrollija olek,eki_skt,psychology/therapy,"overcompensates for fear of attack or punishment by punishing and blaming oneself, with the aim of restoring the illusion of control, self-punishment ...",https://sonaveeb.ee/search/unif/dlall/skt/flaggelating%20overcontroller%20mode
foster care,(no ET term),eki_TAI,health,"the provision of residential care to a child, by and in the home of a person who: (a) receives compensation for caring for the child... (b) is not the...",https://sonaveeb.ee/search/unif/dlall/TAI/foster%20care
foster family providing special care,erihoolduspere,eki_TAI,health,"hoolduspere, kus kasvatatakse erivajadusega last",https://sonaveeb.ee/search/unif/dlall/TAI/foster%20family%20providing%20special%20care
freedom to express valid needs and emotions,vabadus väljendada vajadusi ja emotsioone,eki_skt,psychology/therapy,"baasiline emotsionaalne vajadus väljendada vabalt oma vajadusi, emotsioone ja mõtteid ja saada selles valideeritud, Having the freedom to express your...",https://sonaveeb.ee/search/unif/dlall/skt/freedom%20to%20express%20valid%20needs%20and%20emotions
